STA,Lat,Long,Segment
26555,-6.219934725,106.5639711,Bitung - Cikupa
26560,-6.219923008,106.5639275,Bitung - Cikupa
26565,-6.219911101,106.5638839,Bitung - Cikupa
26570,-6.219899058,106.5638403,Bitung - Cikupa
26575,-6.219887015,106.5637968,Bitung - Cikupa
26580,-6.219874936,106.5637532,Bitung - Cikupa
26585,-6.219862848,106.5637097,Bitung - Cikupa
26590,-6.219850679,106.5636662,Bitung - Cikupa
26595,-6.219838437,106.5636227,Bitung - Cikupa
26600,-6.219826186,106.5635792,Bitung - Cikupa
26605,-6.219813944,106.5635357,Bitung - Cikupa
26610,-6.219801692,106.5634922,Bitung - Cikupa
26615,-6.21978945,106.5634487,Bitung - Cikupa
26620,-6.219777199,106.5634052,Bitung - Cikupa
26625,-6.219764957,106.5633617,Bitung - Cikupa
26630,-6.219752697,106.5633183,Bitung - Cikupa
26635,-6.219740428,106.5632748,Bitung - Cikupa
26640,-6.219727969,106.5632313,Bitung - Cikupa
26645,-6.219715338,106.563188,Bitung - Cikupa
26650,-6.219702715,106.5631446,Bitung - Cikupa
26655,-6.21969003,106.5631012,Bitung - Cikupa
26660,-6.219677353,106.5630578,Bitung - Cikupa
26665,-6.219664568,106.5630145,Bitung - Cikupa
26670,-6.219651702,106.5629712,Bitung - Cikupa
26675,-6.219638817,106.5629279,Bitung - Cikupa
26680,-6.219625679,106.5628846,Bitung - Cikupa
26685,-6.21961255,106.5628414,Bitung - Cikupa
26690,-6.219599357,106.5627982,Bitung - Cikupa
26695,-6.219586111,106.562755,Bitung - Cikupa
26700,-6.219572864,106.5627118,Bitung - Cikupa
26705,-6.219559518,106.5626686,Bitung - Cikupa
26710,-6.219546171,106.5626255,Bitung - Cikupa
26715,-6.219532771,106.5625823,Bitung - Cikupa
26720,-6.219519334,106.5625392,Bitung - Cikupa
26725,-6.219505879,106.562496,Bitung - Cikupa
26730,-6.219492143,106.562453,Bitung - Cikupa
26735,-6.219478417,106.5624099,Bitung - Cikupa
26740,-6.219464727,106.5623669,Bitung - Cikupa
26745,-6.219451073,106.5623238,Bitung - Cikupa
26750,-6.2194374,106.5622807,Bitung - Cikupa
26755,-6.219423638,106.5622377,Bitung - Cikupa
26760,-6.219409866,106.5621947,Bitung - Cikupa
26765,-6.21939585,106.5621517,Bitung - Cikupa
26770,-6.219381635,106.5621088,Bitung - Cikupa
26775,-6.219367419,106.5620659,Bitung - Cikupa
26780,-6.219353113,106.5620231,Bitung - Cikupa
